#
#     Code: data.txt 
#
#     Author:  Joshua Peterson
#   
#     Date:            Data for MCNP or scale
#
#     Description:                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
########################################  

 Name   Name      Identifier  Mass (amu)  Nuclide_Type_1_act_2_U+_3_fp
mg-38      mg38      12038      38.0376          1
mg-39      mg39      12039      39.0468          1
mg-40      mg40      12040      40.0539          1
al-21      al21      13021      21.028           1
al-22      al22      13022      22.0195          1
al-23      al23      13023      23.0073          1
al-24      al24      13024      23.9999          1
al-25      al25      13025      24.9904          1
al-26      al26      13026      25.9869          1
al-27      al27      13027      26.9815          1
al-28      al28      13028      27.9819          1
al-29      al29      13029      28.9804          1
al-30      al30      13030      29.983           1
al-31      al31      13031      30.9839          1
al-32      al32      13032      31.9881          1
al-33      al33      13033      32.9908          1
al-34      al34      13034      33.9968          1
al-35      al35      13035      34.9999          1
al-36      al36      13036      36.0062          1
al-37      al37      13037      37.0107          1
al-38      al38      13038      38.0172          1
al-39      al39      13039      39.023           1
al-40      al40      13040      40.0314          1
al-41      al41      13041      41.0383          1
al-42      al42      13042      42.0469          1
si-22      si22      14022      22.0345          1
si-23      si23      14023      23.0255          1
si-24      si24      14024      24.0116          1
si-25      si25      14025      25.0041          1
si-26      si26      14026      25.9923          1
si-27      si27      14027      26.9867          1
si-28      si28      14028      27.9769          1
si-29      si29      14029      28.9765          1
si-30      si30      14030      29.9738          1
si-31      si31      14031      30.9754          1
si-32      si32      14032      31.9741          1
si-33      si33      14033      32.978           1
si-34      si34      14034      33.9786          1
si-35      si35      14035      34.9846          1
si-36      si36      14036      35.9866          1
si-37      si37      14037      36.9929          1
si-38      si38      14038      37.9956          1
si-39      si39      14039      39.0021          1
si-40      si40      14040      40.0059          1
si-41      si41      14041      41.0146          1
si-42      si42      14042      42.0198          1
si-43      si43      14043      43.0287          1
si-44      si44      14044      44.0353          1
p-24      p24      15024      24.0343            1
p-25      p25      15025      25.0203            1
p-26      p26      15026      26.0118            1
p-27      p27      15027      26.9992            1
p-28      p28      15028      27.9923            1
p-29      p29      15029      28.9818            1
p-30      p30      15030      29.9783            1
p-31      p31      15031      30.9738            1
p-32      p32      15032      31.9739            1
p-33      p33      15033      32.9717            1
p-34      p34      15034      33.9736            1
p-35      p35      15035      34.9733            1
p-36      p36      15036      35.9783            1
p-37      p37      15037      36.9796            1
p-38      p38      15038      37.9842            1
p-39      p39      15039      38.9862            1
p-40      p40      15040      39.9913            1
p-41      p41      15041      40.9943            1
p-42      p42      15042      42.001             1
p-43      p43      15043      43.0062            1
p-44      p44      15044      44.013             1
p-45      p45      15045      45.0192            1
p-46      p46      15046      46.0274            1
s-26      s26      16026      26.0279            1
s-27      s27      16027      27.0188            1
s-28      s28      16028      28.0044            1
s-29      s29      16029      28.9966            1
s-30      s30      16030      29.9849            1
s-31      s31      16031      30.9795            1
s-32      s32      16032      31.9721            1
s-33      s33      16033      32.9715            1
s-34      s34      16034      33.9679            1
s-35      s35      16035      34.969             1
s-36      s36      16036      35.9671            1
s-37      s37      16037      36.9711            1
s-38      s38      16038      37.9712            1
s-39      s39      16039      38.9751            1
s-40      s40      16040      39.9754            1
s-41      s41      16041      40.9796            1
s-42      s42      16042      41.981             1
s-43      s43      16043      42.9871            1
s-44      s44      16044      43.9902            1
s-45      s45      16045      44.9965            1
s-46      s46      16046      46.0008            1
s-47      s47      16047      47.0086            1
s-48      s48      16048      48.0142            1
s-49      s49      16049      49.0236            1
cl-28      cl28      17028      28.0285          1
cl-29      cl29      17029      29.0141          1
cl-30      cl30      17030      30.0048          1
cl-31      cl31      17031      30.9924          1
cl-32      cl32      17032      31.9857          1
cl-33      cl33      17033      32.9775          1
cl-34      cl34      17034      33.9738          1
cl-35      cl35      17035      34.9688          1
cl-36      cl36      17036      35.9683          1
cl-37      cl37      17037      36.9659          1
cl-38      cl38      17038      37.968           1
cl-39      cl39      17039      38.968           1
cl-40      cl40      17040      39.9704          1
cl-41      cl41      17041      40.9707          1
cl-42      cl42      17042      41.9733          1
cl-43      cl43      17043      42.974           1
cl-44      cl44      17044      43.9783          1
cl-45      cl45      17045      44.9803          1
cl-46      cl46      17046      45.9842          1
cl-47      cl47      17047      46.9887          1
cl-48      cl48      17048      47.9949          1
cl-49      cl49      17049      49.0003          1
cl-50      cl50      17050      50.0078          1
cl-51      cl51      17051      51.0145          1
ar-30      ar30      18030      30.0216          1
ar-31      ar31      18031      31.0121          1
ar-32      ar32      18032      31.9976          1
ar-33      ar33      18033      32.9899          1
ar-34      ar34      18034      33.9803          1
ar-35      ar35      18035      34.9753          1
ar-36      ar36      18036      35.9675          1
ar-37      ar37      18037      36.9668          1
ar-38      ar38      18038      37.9627          1
ar-39      ar39      18039      38.9643          1
ar-40      ar40      18040      39.9624          1
ar-41      ar41      18041      40.9645          1
ar-42      ar42      18042      41.9631          1
ar-43      ar43      18043      42.9656          1
ar-44      ar44      18044      43.9649          1
ar-45      ar45      18045      44.968           1
ar-46      ar46      18046      45.9681          1
ar-47      ar47      18047      46.9722          1
ar-48      ar48      18048      47.9745          1
ar-49      ar49      18049      48.9805          1
ar-50      ar50      18050      49.9844          1
ar-51      ar51      18051      50.9916          1
ar-52      ar52      18052      51.9968          1
ar-53      ar53      18053      53.0049          1
k-32      k32      19032      32.0219            1
k-33      k33      19033      33.0073            1
k-34      k34      19034      33.9984            1
k-35      k35      19035      34.988             1
k-36      k36      19036      35.9813            1
k-37      k37      19037      36.9734            1
k-38      k38      19038      37.9691            1
k-39      k39      19039      38.9637            1
k-40      k40      19040      39.964             1
k-41      k41      19041      40.9618            1
k-42      k42      19042      41.9624            1
k-43      k43      19043      42.9607            1
k-44      k44      19044      43.9616            1
k-45      k45      19045      44.9607            1
k-46      k46      19046      45.962             1
k-47      k47      19047      46.9617            1
k-48      k48      19048      47.9655            1
k-49      k49      19049      48.9674            1
k-50      k50      19050      49.9728            1
k-51      k51      19051      50.9764            1
k-52      k52      19052      51.9826            1
k-53      k53      19053      52.9871            1
k-54      k54      19054      53.9942            1
k-55      k55      19055      54.9997            1
ca-34      ca34      20034      34.0141          1
ca-35      ca35      20035      35.0049          1
ca-36      ca36      20036      35.9931          1
ca-37      ca37      20037      36.9859          1
ca-38      ca38      20038      37.9763          1
ca-39      ca39      20039      38.9707          1
ca-40      ca40      20040      39.9626          1
ca-41      ca41      20041      40.9623          1
ca-42      ca42      20042      41.9586          1
ca-43      ca43      20043      42.9588          1
ca-44      ca44      20044      43.9555          1
ca-45      ca45      20045      44.9562          1
ca-46      ca46      20046      45.9537          1
ca-47      ca47      20047      46.9546          1
ca-48      ca48      20048      47.9525          1
ca-49      ca49      20049      48.9557          1
ca-50      ca50      20050      49.9575          1
ca-51      ca51      20051      50.9615          1
ca-52      ca52      20052      51.9651          1
ca-53      ca53      20053      52.9701          1
ca-54      ca54      20054      53.9743          1
ca-55      ca55      20055      54.9805          1
ca-56      ca56      20056      55.9856          1
ca-57      ca57      20057      56.9924          1
sc-36      sc36      21036      36.0149          1
sc-37      sc37      21037      37.0031          1
sc-38      sc38      21038      37.9947          1
sc-39      sc39      21039      38.9848          1
sc-40      sc40      21040      39.978           1
sc-41      sc41      21041      40.9692          1
sc-42      sc42      21042      41.9655          1
sc-43      sc43      21043      42.9612          1
sc-44      sc44      21044      43.9594          1
sc-45      sc45      21045      44.9559          1
sc-46      sc46      21046      45.9552          1
sc-47      sc47      21047      46.9524          1
sc-48      sc48      21048      47.9522          1
sc-49      sc49      21049      48.95            1
sc-50      sc50      21050      49.9522          1
sc-51      sc51      21051      50.9536          1
sc-52      sc52      21052      51.9567          1
sc-53      sc53      21053      52.9596          1
sc-54      sc54      21054      53.9633          1
sc-55      sc55      21055      54.9682          1
sc-56      sc56      21056      55.9729          1
sc-57      sc57      21057      56.9778          1
sc-58      sc58      21058      57.9837          1
sc-59      sc59      21059      58.9892          1
sc-60      sc60      21060      59.9957          1
ti-38      ti38      22038      38.0098          1
ti-39      ti39      22039      39.0016          1
ti-40      ti40      22040      39.9905          1
ti-41      ti41      22041      40.9832          1
ti-42      ti42      22042      41.973           1
ti-43      ti43      22043      42.9685          1
ti-44      ti44      22044      43.9597          1
ti-45      ti45      22045      44.9581          1
ti-46      ti46      22046      45.9526          1
ti-47      ti47      22047      46.9518          1
ti-48      ti48      22048      47.9479          1
ti-49      ti49      22049      48.9479          1
